,_id,ID,Name,global_id,Photo,AdmArea,District,DepartmentalAffiliation,Address,Capacity,ObjectOperOrgName,ObjectOperOrgPhone,Longitude_WGS84,Latitude_WGS84,geoData,geodata_center
154,624b10b94174701856b97088,1750,Велосипедная парковка № 080146213112,167602578,9b9f6f65-c694-4e08-92be-ddbeb7d21fbb,Северо-Восточный административный округ,Останкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Мурманский проезд, 8",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.629109,55.803265,"{'coordinates': [37.629109, 55.803265], 'type': 'Point'}","{'coordinates': [37.629109, 55.803265], 'type': 'Point'}"
155,624b10b94174701856b97089,1751,Велосипедная парковка № 080146113112,167602579,a6472998-bd03-48ef-993d-a32333a713c8,Северо-Восточный административный округ,Останкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Мурманский проезд, дом 12",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.627200,55.804315,"{'coordinates': [37.6272, 55.804315], 'type': 'Point'}","{'coordinates': [37.6272, 55.804315], 'type': 'Point'}"
156,624b10b94174701856b970e6,2302,Велосипедная парковка № 080000111884,282199418,bb302b81-b2cd-4d63-bca3-66d8de88bf0a,Северо-Восточный административный округ,Бабушкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Олонецкий проезд, дом 6, ГБОУ СОШ № 331",10,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.6601343,55.874443,"{'coordinates': [37.6601343, 55.874443], 'type': 'Point'}","{'coordinates': [37.6601343, 55.874443], 'type': 'Point'}"
157,624b10b94174701856b970f0,2403,Велосипедная парковка № 080000312846,282199527,e61eefbc-12e3-4da1-8e7c-158e44b9cd1d,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Таймырская, дом 5, строение 3, ГБОУ СОШ № 751",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.6956473,55.884202,"{'coordinates': [37.6956473, 55.884202], 'type': 'Point'}","{'coordinates': [37.6956473, 55.884202], 'type': 'Point'}"
158,624b10b94174701856b97138,2792,Велосипедная парковка № 080000410052,282199952,9f17b031-1c90-4cc6-b99b-3db16595872c,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Алтуфьевское шоссе, дом 24А",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.5852853,55.861762,"{'coordinates': [37.5852853, 55.861762], 'type': 'Point'}","{'coordinates': [37.5852853, 55.861762], 'type': 'Point'}"
159,624b10b94174701856b97139,2793,Велосипедная парковка № 080000310052,282199953,78bb1af3-1ccf-4248-aea9-940925791fda,Северо-Восточный административный округ,район Отрадное,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Алтуфьевское шоссе, дом 30А",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.5855062,55.865871,"{'coordinates': [37.5855062, 55.865871], 'type': 'Point'}","{'coordinates': [37.5855062, 55.865871], 'type': 'Point'}"
160,624b10b94174701856b9713a,2796,Велосипедная парковка № 080000110052,282199956,89ab3c91-f1e7-4320-bd35-a7b6264653f8,Северо-Восточный административный округ,район Бибирево,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Алтуфьевское шоссе, дом 94",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.5881983,55.901875,"{'coordinates': [37.5881983, 55.901875], 'type': 'Point'}","{'coordinates': [37.5881983, 55.901875], 'type': 'Point'}"
161,624b10b94174701856b9714a,3009,Велосипедная парковка № 080630112467,1032867400,e29e0fac-684b-4972-90ce-e77dc8ee0c17,Северо-Восточный административный округ,Бутырский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"улица Яблочкова, дом 41",8,ГКУ Центр организации дорожного движения,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.578532,55.828197,"{'coordinates': [37.578532, 55.828197], 'type': 'Point'}","{'coordinates': [37.578532, 55.828197], 'type': 'Point'}"
162,624b10b94174701856b9714b,3011,Велосипедная парковка № 080000912971,1032867409,ba4f583d-0221-401e-9473-bcb52560c08c,Северо-Восточный административный округ,район Марфино,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Большая Марфинская улица, дом 4",8,ГКУ Центр организации дорожного движения,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.592968,55.831428,"{'coordinates': [37.592968, 55.831428], 'type': 'Point'}","{'coordinates': [37.592968, 55.831428], 'type': 'Point'}"
163,624b10b94174701856b9714d,3013,Велосипедная парковка № 080000912945,1032867416,dbfc58f3-5c3f-413c-8319-59efd4169a22,Северо-Восточный административный округ,Ярославский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Ярославское шоссе, дом 5",10,ГКУ Центр организации дорожного движения,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.677948,55.852874,"{'coordinates': [37.677948, 55.852874], 'type': 'Point'}","{'coordinates': [37.677948, 55.852874], 'type': 'Point'}"
164,624b10b94174701856b97156,3022,Велосипедная парковка № 080000115004,1079259556,124a3ef7-2297-400b-91ee-1f7283bb1b6e,Северо-Восточный административный округ,Бутырский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Улица Гончарова, дом 13",2,ГКУ Центр организации дорожного движения,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.585881,55.815015,"{'coordinates': [37.585881, 55.815015], 'type': 'Point'}","{'coordinates': [37.585881, 55.815015], 'type': 'Point'}"
165,624b10b94174701856b97172,3050,Велосипедная парковка № 110136013712,1146363136,ac829e94-d445-4b74-a210-1359b2f24507,Северо-Восточный административный округ,Лосиноостровский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Тайнинская улица, дом 16, корпус 2",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.687200,55.880549,"{'coordinates': [37.6872, 55.880549], 'type': 'Point'}","{'coordinates': [37.6872, 55.880549], 'type': 'Point'}"
166,624b10b94174701856b97173,3051,Велосипедная парковка № 110136013568,1146363161,4e58ad91-12c7-4d2e-b144-88f89349970a,Северо-Восточный административный округ,Бабушкинский район,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы,"Верхоянская улица, дом 6, корпус 1",1,ГКУ Центр организации дорожного движения Правительства Москвы,[{'OperationOrganizationPhone': '(495) 361-78-07'}],37.671020,55.858283,"{'coordinates': [37.67102, 55.858283], 'type': 'Point'}","{'coordinates': [37.67102, 55.858283], 'type': 'Point'}"
