vacancy_name,company,city,salary_min,salary_max,currency,vacancy_link,site
"Python Web Developer/Middle, Remote",Автоматика,Москва,2000.0,3000.0,Usd,https://vladivostok.hh.ru/vacancy/52127992?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Программист Python,Земляков Никита,Москва,50000.0,100000.0,Руб,https://vladivostok.hh.ru/vacancy/52702655?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist,Метр Квадратный,Москва,250000.0,,Руб,https://vladivostok.hh.ru/vacancy/50736774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Scientist,ПАО Детский Мир,Москва,250000.0,350000.0,Руб,https://vladivostok.hh.ru/vacancy/52624716?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Backend-разработчик Python,ООО Мирамедикс,Москва,170000.0,230000.0,Руб,https://vladivostok.hh.ru/vacancy/51820922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
"Deep learning developer / Data scientist, remote",Docet TI,Москва,400000.0,,Руб,https://vladivostok.hh.ru/vacancy/52252531?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Deep Learning/ Machine Learning NLP Engineer,ООО НСК ЭкоСфера,Москва,100000.0,200000.0,Руб,https://vladivostok.hh.ru/vacancy/51718324?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Senior C++ developer,Wunder Fund,Москва,300000.0,700000.0,Руб,https://vladivostok.hh.ru/vacancy/52090588?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python разработчик,Сбер для экспертов,Москва,,,,https://vladivostok.hh.ru/vacancy/52000414?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Backend-разработчик Python (Middle/Middle+),МКСКОМ,Москва,120000.0,160000.0,Руб,https://vladivostok.hh.ru/vacancy/52049492?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python developer (scraper),КИБЕР-РОМ,Москва,,,,https://vladivostok.hh.ru/vacancy/51113363?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Middle/Senior Python Developer,ООО БОЛЬШАЯ ТРОЙКА,Москва,180000.0,300000.0,Руб,https://vladivostok.hh.ru/vacancy/51946677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python developer (computer vision backend),ООО Константа,Москва,200000.0,,Руб,https://vladivostok.hh.ru/vacancy/49342079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python разработчик,ООО Платформа Сейлз Чейн,Москва,,,,https://vladivostok.hh.ru/vacancy/51933544?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Ведущий Backend Инженер,StakeWise,Москва,,530000.0,Руб,https://vladivostok.hh.ru/vacancy/52659118?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Analyst,Novakid Inc,Москва,220000.0,,Руб,https://vladivostok.hh.ru/vacancy/51821934?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Pyth‎on Developer,Циан,Москва,,,,https://vladivostok.hh.ru/vacancy/51410388?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data Engineer,Whalemap,Москва,200000.0,300000.0,Руб,https://vladivostok.hh.ru/vacancy/52007147?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Разработчик Python (NLP),ITFB Group,Москва,,,,https://vladivostok.hh.ru/vacancy/52223574?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Junior Data Engineer,Assistance Group,Москва,,,,https://vladivostok.hh.ru/vacancy/52599718?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python middle developer,DataSub,Москва,2000.0,2500.0,Usd,https://vladivostok.hh.ru/vacancy/52602818?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Python-разработчик (Middle),ООО Корпорация ЗНАК,Москва,180000.0,220000.0,Руб,https://vladivostok.hh.ru/vacancy/51625774?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Data analyst,Эквид,Москва,175000.0,,Руб,https://vladivostok.hh.ru/vacancy/52691933?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Backend разработчик Python (Django),ООО СпецСитиСтрой,Москва,150000.0,180000.0,Руб,https://vladivostok.hh.ru/vacancy/52249147?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Разработчик Python,Forecsys,Москва,,,,https://vladivostok.hh.ru/vacancy/51255569?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
DevOps engineer,HR Prime,Москва,345000.0,575000.0,Руб,https://vladivostok.hh.ru/vacancy/52453095?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
Web Data Analyst,Novakid Inc,Москва,220000.0,,Руб,https://vladivostok.hh.ru/vacancy/51948024?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Python,hh.ru
